2.2	671463.
12.1	94346.
22.1	45601.
32.1	25252.
42.2	13659.
52.2	8168.
62.2	5619.
72.0	4239.
82.0	3682.
87.	3363.
92.	3142.
97.1	3095.
102.	2982.
107.	2882.
112.	2894.
117.	2961.
122.	2844.
127.	2961.
132.	2739.
137.	2646.
142.	2618.
147.	2535.
157.1	2344.
167.	2055.
177.	1879.
187.	1603.
197.	1283.
207.3	1139.
217.2	966.
